Division NO,Member Name,No. of days Members signed the Register,No. of days Members not signed the Register,
322,Shri Bishweswar Tudu ,12,8,
323,Shri Pakauri Lal Kaul ,19,1,
324,Smt. Kavita Singh ,15,5,
325,Shri Dulal Chandra Goswami ,19,1,
326,Shri Rajendra Gavit ,16,4,
327,Shri Sadashiv Lokhande ,14,6,
328,Shri Om Prakash B. alias Pawan Rajenimbalkar ,18,2,
329,Shri Brijendra Singh ,20,0,
330,Shri Mohan Mandavi ,20,0,
331,Shri Chunnilal Sahu ,19,1,
332,Shri Arun Sao ,20,0,
333,Shri Sanjay Seth ,3,17,
334,Shri Jamyang Tsering Namgyal ,19,1,
335,Shri Suresh Kashyap ,20,0,
336,Shri Alok Kumar Suman ,16,4,
337,Shri Ramprit Mandal ,17,3,
338,Shri Horen Sing Bey ,17,3,
339,Shri Kripanath Mallah ,15,5,
340,Shri Ashok Kumar Yadav ,19,1,
341,Shri Gopal Ji Thakur ,20,0,
342,Shri Kishan Kapoor ,20,0,
344,Shri Nayab Singh ,17,3,
345,Shri Basanta Kumar Panda ,15,5,
346,Dr. Rajkumar Ranjan Singh ,20,0,
347,Shri Sunil Soren ,9,11,
348,Shri Suresh Pujari ,14,6,
349,Shri Sanjay Mandlik ,11,9,
350,Shri Sunil Kumar Pintu ,12,8,
351,Smt. Veena Devi ,18,2,
352,Shri Subrata Pathak ,17,3,
353,Shri Dilip Saikia ,9,11,
354,Shri Narendra Kumar ,16,4,
355,Shri Dhairyasheel S. Mane ,12,8,
356,Shri Chandeshwar Prasad ,11,9,
357,Shri Vijay Kumar Manjhi ,14,6,
358,Shri Ajay Kumar Mandal ,2,18,
359,Shri Hemant Patil ,15,5,
360,Shri Choudhary Mehboob Ali Kaiser ,18,2,
363,Shri Naba Kumar Sarania ,19,1,
364,Shri Imtiaz Jaleel Syed ,18,2,
365,Shri P.V. Midhun Reddy ,17,3,
366,Shri Sudip Bandyopadhyay ,20,0,
367,Shri Pinaki Misra ,18,2,
368,Shri Magunta Sreenivasulu Reddy ,15,5,
369,Shri Kalyan Banerjee ,15,5,
370,Shri Nama Nageswara Rao ,20,0,
371,Shri Ritesh Pandey ,19,1,
372,Shri Bhartruhari Mahtab ,19,1,
373,Shri Balashowry Vallabbhaneni ,15,5,
374,Prof. Saugata Roy ,19,1,
375,Shri Jayadev Galla ,18,2,
376,Shri Kotha Prabhakar Reddy ,14,6,
377,Shri Girish Chandra ,19,1,
378,Shri Chandra Sekhar Sahu ,2,18,
379,Shri Margani Bharat ,14,6,
380,Shri Abhishek Banerjee ,1,19,
381,Shri B. B. Patil ,20,0,
382,Shri Malook Nagar ,20,0,
383,Shri Achyutananda Samanta ,17,3,
384,Smt. Vanga Geetha Viswanath ,17,3,
385,Shri Kotagiri Sridhar ,15,5,
386,Dr. Kakoli Ghosh Dastidar ,17,3,
387,Shri Sisir Adhikari ,7,13,
388,Shri K. Ram Mohan Naidu ,17,3,
389,Shri Pothuganti Ramulu ,20,0,
390,Shri Afzal Ansari ,18,2,
